bin	marker_lineage	genomes	markers	marker_sets	completeness	contamination	strain_heterogeneity	genome_size	ambiguous_bases	scaffolds	contigs	N50_scaffolds	N50_contigs	mean_scaffold_length	mean_contig_length	longest_scaffold	longest_contig	gc	gc_std_scaffolds	coding_density	translation_table	predicted_genes	0	1	2	3	4	5+
SPAdes-MetaBAT2Refined-S15.73	o__Actinomycetales (UID1696)	455	311	187	99.38	2.85	0.00	3388606	1686	119	140	45101	38202	28475	24192	151507	151507	70.9	2.43	90.83	11	3377	3	301	7	0	0	0
SPAdes-MetaBAT2Refined-S15.75	o__Rhodospirillales (UID3754)	63	336	201	94.91	0.66	0.00	4716702	1527	399	457	16790	15399	11821	10317	117521	85512	68.4	2.19	92.71	11	4791	26	307	3	0	0	0
SPAdes-MetaBAT2Refined-S17.100	k__Bacteria (UID3187)	2258	188	117	97.34	0.85	0.00	4026354	400	97	101	92839	92839	41508	39860	423559	423559	57.1	2.09	90.06	11	3576	6	181	1	0	0	0
SPAdes-MetaBAT2Refined-S17.108	k__Bacteria (UID3187)	2258	181	110	79.03	3.64	0.00	1831051	1300	107	120	36696	35246	17112	15247	142100	138891	54.9	2.80	89.66	11	1850	49	128	4	0	0	0
SPAdes-MetaBAT2Refined-S17.109	p__Proteobacteria (UID3880)	1495	261	164	97.56	1.52	0.00	2211241	1600	65	81	71044	52627	34019	27279	201773	198623	65.2	1.30	92.97	11	2209	6	252	3	0	0	0
SPAdes-MetaBAT2Refined-S17.114	k__Bacteria (UID1453)	901	171	117	80.27	1.14	50.00	2836964	1552	488	556	7082	6583	5813	5099	26631	26631	63.6	1.50	92.52	11	3083	27	142	2	0	0	0
SPAdes-MetaBAT2Refined-S17.12	k__Bacteria (UID1452)	924	151	101	95.71	9.67	11.76	7630582	4830	678	816	20577	17149	11254	9345	117109	106706	60.1	2.79	86.65	11	7580	5	133	11	2	0	0
SPAdes-MetaBAT2Refined-S17.120	k__Bacteria (UID1452)	924	151	101	87.68	2.97	33.33	3415685	1725	453	541	10225	9224	7540	6310	39360	32729	65.5	1.43	89.70	11	3814	15	133	3	0	0	0
SPAdes-MetaBAT2Refined-S17.123_sub	k__Bacteria (UID3187)	2258	187	116	95.45	0.86	0.00	3309867	1510	96	112	64584	63608	34477	29538	279115	279115	61.7	1.72	89.41	11	2880	23	163	1	0	0	0
SPAdes-MetaBAT2Refined-S17.131_sub	o__Rhodospirillales (UID3754)	63	336	201	96.70	3.58	25.00	3680078	540	90	99	86732	86028	40889	37167	214064	214064	70.2	1.63	92.51	11	3569	16	312	8	0	0	0
SPAdes-MetaBAT2Refined-S17.146_sub	k__Bacteria (UID1453)	901	171	117	85.80	7.69	10.53	4488701	8630	487	594	13938	10917	9217	7542	69251	69251	70.1	1.77	91.31	11	4510	39	128	0	3	0	1
SPAdes-MetaBAT2Refined-S17.154	k__Bacteria (UID3187)	2258	188	117	91.24	4.51	0.00	4300790	1518	658	754	8398	7541	6536	5701	43807	41083	58.0	2.11	84.61	11	3956	11	165	12	0	0	0
SPAdes-MetaBAT2Refined-S17.159	p__Euryarchaeota (UID3)	148	188	125	96.67	2.40	0.00	2004002	4800	115	163	28471	21508	17426	12265	134164	67091	71.6	2.15	89.19	11	1948	6	179	3	0	0	0
SPAdes-MetaBAT2Refined-S17.160	o__Actinomycetales (UID1663)	488	309	185	97.67	6.22	66.67	3371085	1510	64	80	93703	67168	52673	42119	231086	213045	69.6	1.56	91.05	11	3349	7	287	15	0	0	0
SPAdes-MetaBAT2Refined-S17.164_sub	k__Bacteria (UID3187)	2258	181	110	91.74	2.73	0.00	2642364	1762	228	268	29754	24817	11589	9852	114739	85046	55.5	4.91	89.44	11	2714	20	158	3	0	0	0
SPAdes-MetaBAT2Refined-S17.166	k__Bacteria (UID3187)	2258	188	117	100.00	0.85	0.00	3679030	0	16	16	383916	383916	229939	229939	666111	666111	59.4	0.94	90.81	11	3002	0	187	1	0	0	0
SPAdes-MetaBAT2Refined-S17.176	p__Euryarchaeota (UID3)	148	187	124	92.55	0.00	0.00	1630617	334	78	82	34838	33701	20905	19881	99406	99406	46.0	1.96	89.34	11	1700	14	173	0	0	0	0
SPAdes-MetaBAT2Refined-S17.186	k__Bacteria (UID3187)	2258	190	119	94.77	1.26	0.00	3493770	231	125	147	42256	37888	27950	23765	120101	120101	63.1	1.64	89.01	11	3379	19	169	2	0	0	0
SPAdes-MetaBAT2Refined-S17.190	k__Bacteria (UID1452)	924	161	108	95.83	0.93	0.00	2692145	8400	141	225	39140	23228	19093	11927	130165	88347	71.5	1.62	90.35	11	2627	5	155	1	0	0	0
SPAdes-MetaBAT2Refined-S17.191_sub	o__Rhodospirillales (UID3754)	63	336	201	87.97	2.24	28.57	4737348	10110	471	585	17841	14217	10058	8080	115092	74870	70.6	2.19	90.97	11	4873	35	294	7	0	0	0
SPAdes-MetaBAT2Refined-S17.194	p__Proteobacteria (UID3880)	1495	261	164	93.14	1.52	33.33	2168111	800	57	65	130436	97863	38037	33343	274820	183115	61.8	1.79	90.43	11	2220	17	241	3	0	0	0
SPAdes-MetaBAT2Refined-S17.197_sub	o__Actinomycetales (UID1696)	455	311	187	88.03	6.15	35.71	6994162	7234	831	942	12378	10843	8416	7417	64132	55179	72.8	2.72	88.46	11	7034	53	244	14	0	0	0
SPAdes-MetaBAT2Refined-S17.2	p__Actinobacteria (UID1454)	732	199	116	89.17	4.00	14.29	2218420	774	252	289	13085	11258	8803	7673	39511	37090	71.0	1.47	94.80	11	2607	32	160	7	0	0	0
SPAdes-MetaBAT2Refined-S17.204_sub	k__Bacteria (UID1452)	924	161	108	87.96	0.31	100.00	2089443	19110	244	436	14423	6154	8563	4748	63146	46220	69.3	1.99	87.99	11	2272	14	146	1	0	0	0
SPAdes-MetaBAT2Refined-S17.206	p__Firmicutes (UID239)	1324	173	101	75.81	0.33	0.00	2789097	1377	569	684	6465	5591	4901	4075	34207	31684	69.6	2.00	87.19	11	2989	42	130	1	0	0	0
SPAdes-MetaBAT2Refined-S17.26_sub	o__Actinomycetales (UID1663)	488	309	185	83.34	3.24	50.00	2689401	12413	654	794	5029	3934	4112	3371	29339	29339	74.3	2.49	90.26	11	3101	61	242	6	0	0	0
SPAdes-MetaBAT2Refined-S17.31	k__Bacteria (UID1452)	924	161	108	85.39	3.70	75.00	2327243	18700	289	476	13313	6588	8052	4849	53233	49230	63.4	2.03	90.66	11	2541	22	135	4	0	0	0
SPAdes-MetaBAT2Refined-S17.37	k__Bacteria (UID2565)	2921	141	86	96.12	2.91	33.33	5508646	1211	301	338	28989	26569	18301	16294	116895	116895	71.4	1.66	86.69	11	4684	4	134	3	0	0	0
SPAdes-MetaBAT2Refined-S17.39_sub	k__Bacteria (UID1452)	924	151	101	63.81	11.72	6.25	4308719	3584	1554	1827	2962	2714	2772	2356	13480	13480	66.7	2.13	87.27	11	5341	55	84	10	2	0	0
SPAdes-MetaBAT2Refined-S17.50	k__Bacteria (UID1452)	924	159	107	98.13	3.74	0.00	5360269	5124	325	402	34587	26379	16493	13321	161268	134000	71.0	1.87	86.63	11	5202	2	154	2	1	0	0
SPAdes-MetaBAT2Refined-S17.52	k__Bacteria (UID3187)	2258	187	116	95.00	0.00	0.00	4017186	5000	104	154	75196	43335	38626	26053	206065	182040	60.9	1.83	87.89	11	3227	15	172	0	0	0	0
SPAdes-MetaBAT2Refined-S17.59	k__Bacteria (UID3187)	2258	188	117	99.00	0.85	100.00	2464462	200	23	25	153197	153197	107150	98570	322473	322473	60.0	1.03	89.86	11	2127	4	183	1	0	0	0
SPAdes-MetaBAT2Refined-S17.61	k__Bacteria (UID1453)	901	171	117	93.08	1.28	0.00	2864661	2787	364	430	10471	8958	7869	6655	46697	37173	63.7	1.60	90.10	11	3140	10	159	2	0	0	0
SPAdes-MetaBAT2Refined-S17.62_sub	p__Euryarchaeota (UID3)	148	188	125	96.34	0.80	0.00	2074089	300	96	99	42477	40254	21605	20947	93538	93538	49.2	1.49	88.83	11	2106	7	180	1	0	0	0
SPAdes-MetaBAT2Refined-S17.65_sub	o__Actinomycetales (UID1696)	455	315	190	96.57	1.05	0.00	3191616	2410	126	151	46320	43715	25330	21120	191142	191142	73.2	1.69	91.52	11	3161	12	301	2	0	0	0
SPAdes-MetaBAT2Refined-S17.79	k__Bacteria (UID2565)	2921	141	86	98.16	0.00	0.00	6069368	11750	643	765	13577	11378	9439	7918	56882	42621	60.9	1.68	86.02	11	5088	3	138	0	0	0	0
SPAdes-MetaBAT2Refined-S17.84_sub	k__Bacteria (UID1453)	901	171	117	84.26	5.08	54.55	4205113	5750	314	376	25234	19584	13392	11168	139952	130045	71.1	1.82	92.57	11	4145	40	120	11	0	0	0
SPAdes-MetaBAT2Refined-S17.86	k__Bacteria (UID3187)	2258	188	117	100.00	0.00	0.00	2485734	200	31	33	102928	102243	80184	75319	216229	216229	58.9	1.42	89.76	11	2156	0	188	0	0	0	0
SPAdes-MetaBAT2Refined-S17.91	k__Bacteria (UID1452)	924	151	101	95.05	1.49	33.33	6195719	190	198	208	62272	59930	31291	29786	228368	228368	67.2	1.63	89.38	11	5887	5	143	3	0	0	0
SPAdes-MetaBAT2Refined-S17.92	k__Bacteria (UID1452)	924	151	101	91.90	2.29	75.00	4146666	3400	347	381	24439	22255	11950	10874	125779	100814	65.4	1.85	85.30	11	3746	14	133	4	0	0	0
SPAdes-MetaBAT2Refined-S17.95_sub	k__Bacteria (UID3187)	2258	190	119	96.64	1.68	0.00	4181922	2220	125	149	77805	74163	33455	28051	291046	252946	62.5	1.78	87.83	11	4023	4	184	2	0	0	0
SPAdes-MetaBAT2Refined-S17.96_sub	k__Bacteria (UID1453)	901	171	117	97.44	4.13	25.00	3114765	720	93	102	48495	44545	33492	30529	302166	302166	73.7	1.50	90.80	11	2981	3	162	5	1	0	0
SPAdes-MetaBAT2Refined-S2.101_sub	k__Bacteria (UID3187)	2258	190	119	69.98	2.10	33.33	2588053	9050	808	1334	3554	2547	3203	1933	15552	9121	63.2	1.95	87.71	11	3247	55	132	3	0	0	0
SPAdes-MetaBAT2Refined-S2.102_sub	k__Bacteria (UID1453)	901	171	117	76.48	1.28	0.00	2461985	6935	642	1033	4511	3245	3834	2376	36090	36090	50.4	8.34	86.22	11	3000	50	119	2	0	0	0
SPAdes-MetaBAT2Refined-S2.103	o__Actinomycetales (UID1696)	455	315	190	95.49	1.05	0.00	3377502	2910	89	119	74155	62444	37949	28357	190102	190102	73.0	1.78	91.52	11	3311	15	298	2	0	0	0
SPAdes-MetaBAT2Refined-S2.104	p__Actinobacteria (UID1454)	732	199	116	94.11	4.60	0.00	2640201	930	118	130	44627	43213	22374	20302	131878	129692	70.8	1.42	94.82	11	2875	11	183	4	1	0	0
SPAdes-MetaBAT2Refined-S2.108	k__Bacteria (UID1452)	924	161	108	96.13	0.93	0.00	2690024	3558	148	220	30345	19455	18175	12211	92793	52306	65.0	2.60	92.94	11	2737	6	154	1	0	0	0
SPAdes-MetaBAT2Refined-S2.112	k__Bacteria (UID1452)	924	161	108	95.42	0.93	0.00	2324696	6478	184	261	20631	13465	12634	8882	59177	47511	63.3	1.63	92.99	11	2397	7	153	1	0	0	0
SPAdes-MetaBAT2Refined-S2.121	k__Bacteria (UID1453)	901	171	117	93.50	5.98	11.11	4449067	720	183	201	46069	41900	24311	22131	156786	156786	70.9	1.58	91.53	11	4284	11	153	6	1	0	0
SPAdes-MetaBAT2Refined-S2.122_sub	k__Bacteria (UID1453)	901	171	117	95.71	2.14	0.00	3217435	4786	191	283	30020	18869	16845	11352	142823	84090	72.0	1.99	88.02	11	3045	8	160	3	0	0	0
SPAdes-MetaBAT2Refined-S2.123	k__Bacteria (UID1453)	901	171	117	90.39	3.85	20.00	3733032	2842	280	318	24194	22323	13332	11730	110361	69666	70.8	1.92	90.44	11	3800	32	134	5	0	0	0
SPAdes-MetaBAT2Refined-S2.132_sub	p__Actinobacteria (UID1454)	732	200	117	91.37	1.60	25.00	5189560	4747	458	609	18151	13587	11330	8513	61513	58967	71.0	1.85	89.74	11	5252	28	168	4	0	0	0
SPAdes-MetaBAT2Refined-S2.135_sub	o__Actinomycetales (UID1802)	274	388	214	55.62	4.10	42.86	1995127	4867	746	1019	2738	2347	2674	1953	16163	16163	68.9	7.10	88.10	11	2504	165	209	14	0	0	0
SPAdes-MetaBAT2Refined-S2.136_sub	o__Actinomycetales (UID1696)	455	311	187	70.90	1.41	40.00	5073408	10736	1637	2252	3358	2793	3099	2248	14595	11405	72.5	2.50	87.37	11	6164	93	213	5	0	0	0
SPAdes-MetaBAT2Refined-S2.141	p__Euryarchaeota (UID3)	148	188	125	95.07	1.60	0.00	1945445	3900	107	146	31842	26709	18181	13298	127042	108142	71.8	1.70	89.46	11	1858	8	178	2	0	0	0
SPAdes-MetaBAT2Refined-S2.143	k__Bacteria (UID1453)	901	171	117	76.61	3.85	28.57	2670829	6453	591	968	5447	3871	4519	2752	26251	17895	63.7	1.57	91.59	11	3131	41	123	7	0	0	0
SPAdes-MetaBAT2Refined-S2.151_sub	k__Bacteria (UID1452)	924	161	108	98.61	0.19	0.00	2546308	1226	83	105	73550	70446	30678	24238	164238	140122	69.9	5.82	89.19	11	2478	2	158	1	0	0	0
SPAdes-MetaBAT2Refined-S2.153_sub	k__Bacteria (UID3187)	2258	181	110	94.83	0.91	0.00	2159444	1004	86	116	51734	37038	25109	18607	176179	118736	57.0	3.08	90.01	11	2177	15	165	1	0	0	0
SPAdes-MetaBAT2Refined-S2.155	k__Bacteria (UID1452)	924	161	108	94.82	0.93	0.00	2692692	9310	123	217	41479	20839	21891	12365	100637	85911	71.4	1.58	90.14	11	2606	7	153	1	0	0	0
SPAdes-MetaBAT2Refined-S2.17_sub	k__Archaea (UID2)	207	145	103	98.15	2.91	0.00	2360788	762	43	79	79406	48281	54902	29873	254847	118365	48.6	1.27	86.28	11	2571	4	138	3	0	0	0
SPAdes-MetaBAT2Refined-S2.27	p__Euryarchaeota (UID3)	148	187	124	77.13	0.81	100.00	1511410	780	183	198	11294	10540	8259	7629	45967	41471	45.9	2.28	88.66	11	1675	49	137	1	0	0	0
SPAdes-MetaBAT2Refined-S2.28	p__Euryarchaeota (UID3)	148	187	124	97.13	0.81	0.00	1480436	260	53	70	57848	29981	27932	21145	162060	162060	44.8	1.14	88.25	11	1485	5	181	1	0	0	0
SPAdes-MetaBAT2Refined-S2.29_sub	k__Bacteria (UID1453)	901	171	117	81.73	8.55	21.43	4327329	2330	374	438	18552	15292	11570	9874	158359	125297	71.2	1.86	92.86	11	4327	48	114	8	0	1	0
SPAdes-MetaBAT2Refined-S2.2_sub	c__Betaproteobacteria (UID3888)	323	386	233	90.30	1.93	60.00	2461071	4537	510	734	5787	4652	4825	3346	19305	19305	66.7	3.10	89.61	11	2707	43	338	5	0	0	0
SPAdes-MetaBAT2Refined-S2.46	k__Bacteria (UID1452)	924	161	108	84.72	0.00	0.00	2106346	19430	271	468	14677	5972	7772	4459	74912	36954	69.3	2.04	87.95	11	2363	17	144	0	0	0	0
SPAdes-MetaBAT2Refined-S2.47	k__Bacteria (UID3187)	2258	190	119	95.70	1.68	0.00	4278285	740	106	126	95036	78453	40361	33948	365804	213203	62.4	1.82	87.82	11	4114	7	181	2	0	0	0
SPAdes-MetaBAT2Refined-S2.51_sub	o__Actinomycetales (UID1590)	562	286	170	92.69	3.82	0.00	3115208	24920	249	518	20771	8366	12510	5965	61216	32927	75.9	2.06	89.22	11	3027	16	263	6	1	0	0
SPAdes-MetaBAT2Refined-S2.55	k__Bacteria (UID1453)	901	171	117	94.44	0.43	0.00	2450945	11430	215	332	19075	10980	11399	7347	58805	58805	70.9	1.51	90.94	11	2401	8	162	1	0	0	0
SPAdes-MetaBAT2Refined-S2.56	k__Bacteria (UID3187)	2258	188	117	92.74	0.00	0.00	3791779	2600	124	150	66147	60183	30578	25261	232597	217062	68.1	1.58	87.00	11	3191	10	178	0	0	0	0
SPAdes-MetaBAT2Refined-S2.58_sub	k__Bacteria (UID2565)	2921	143	88	69.68	3.41	66.67	4392774	12328	1270	1940	3826	2987	3458	2257	18156	11227	59.7	1.67	87.73	11	4805	45	95	3	0	0	0
SPAdes-MetaBAT2Refined-S2.59	k__Bacteria (UID3187)	2258	187	116	99.11	1.72	0.00	4712603	500	86	91	116356	116356	54797	51781	257973	257973	61.3	1.48	87.54	11	4045	7	178	2	0	0	0
SPAdes-MetaBAT2Refined-S2.6	o__Actinomycetales (UID1663)	488	309	185	97.13	2.43	0.00	3300089	3020	81	113	74734	49273	40741	29177	213392	203408	69.5	2.29	90.89	11	3289	8	296	5	0	0	0
SPAdes-MetaBAT2Refined-S2.60	o__Actinomycetales (UID1663)	488	309	185	76.82	1.89	0.00	2370517	4012	491	720	6112	4457	4827	3286	38098	35142	71.6	2.37	91.73	11	2790	73	230	6	0	0	0
SPAdes-MetaBAT2Refined-S2.61	o__Actinomycetales (UID1593)	69	400	198	97.64	0.76	0.00	2768877	2249	109	196	44735	27474	25402	14115	288138	78064	63.9	2.12	89.85	11	2672	11	386	3	0	0	0
SPAdes-MetaBAT2Refined-S2.63_sub	k__Bacteria (UID3187)	2258	181	110	87.52	3.23	20.00	1872539	760	107	130	25255	23148	17500	14398	86801	86801	55.0	3.11	90.02	11	1873	28	148	5	0	0	0
SPAdes-MetaBAT2Refined-S2.64	k__Bacteria (UID1453)	901	171	117	97.36	3.85	0.00	3087763	8140	99	184	77599	32083	31189	16737	260709	150901	65.5	1.71	90.82	11	2984	4	163	2	2	0	0
SPAdes-MetaBAT2Refined-S2.67_sub	k__Bacteria (UID1453)	901	171	117	73.94	3.85	16.67	2779736	3995	508	742	7426	5336	5471	3740	31066	31066	70.5	2.52	90.39	11	3027	43	122	6	0	0	0
SPAdes-MetaBAT2Refined-S2.71	p__Proteobacteria (UID3880)	1495	261	164	97.56	1.52	0.00	2230532	1240	56	72	83635	63760	39830	30962	203497	203497	65.1	2.33	92.62	11	2205	6	252	3	0	0	0
SPAdes-MetaBAT2Refined-S2.73	k__Bacteria (UID1453)	901	171	117	77.15	1.71	0.00	3793084	7248	651	820	7437	6439	5826	4616	28957	27045	71.6	2.07	91.08	11	4066	54	115	1	1	0	0
SPAdes-MetaBAT2Refined-S2.78	k__Bacteria (UID1453)	901	171	117	96.58	0.52	50.00	1950488	1114	112	158	29089	22081	17415	12337	85280	60422	71.5	2.08	92.61	11	2014	4	165	2	0	0	0
SPAdes-MetaBAT2Refined-S2.79	p__Euryarchaeota (UID3)	148	188	125	96.62	0.80	0.00	1533963	465	47	75	61784	32076	32637	20446	119925	98200	69.9	1.45	90.33	11	1501	9	178	1	0	0	0
SPAdes-MetaBAT2Refined-S2.80_sub	k__Bacteria (UID1452)	924	159	107	70.48	2.80	0.00	4483887	11270	1202	1867	4354	3158	3730	2395	28303	28303	70.9	2.32	85.71	11	5218	45	111	3	0	0	0
SPAdes-MetaBAT2Refined-S2.85	p__Actinobacteria (UID1454)	732	200	117	64.98	4.27	0.00	2292404	5434	654	944	3942	3118	3505	2422	14371	14371	71.3	2.21	89.32	11	2810	79	116	5	0	0	0
SPAdes-MetaBAT2Refined-S2.86	k__Bacteria (UID3187)	2258	187	116	85.78	0.00	0.00	3552086	9001	576	755	7969	6447	6166	4692	26407	26407	61.1	2.12	87.16	11	3199	26	161	0	0	0	0
SPAdes-MetaBAT2Refined-S2.90	p__Proteobacteria (UID3880)	1495	261	164	91.46	1.52	33.33	2214951	2200	82	104	56077	41779	27011	21276	274675	274675	61.7	1.99	90.09	11	2292	20	238	3	0	0	0
SPAdes-MetaBAT2Refined-S2.93_sub	k__Bacteria (UID1452)	924	151	101	94.76	3.32	66.67	4200661	2820	227	257	36214	32198	18505	16334	116256	116256	65.3	1.68	85.35	11	3696	13	132	6	0	0	0
SPAdes-MetaBAT2Refined-S2.95_sub	p__Actinobacteria (UID1454)	732	200	117	74.62	4.10	45.45	4158044	5789	1051	1300	4570	3976	3956	3194	24440	22019	70.7	3.89	87.60	11	4882	55	134	11	0	0	0
SPAdes-MetaBAT2Refined-S3.101	k__Bacteria (UID1452)	924	151	101	91.98	1.32	0.00	6116263	2350	163	191	97854	74248	37523	32010	507101	505264	67.3	1.71	89.21	11	5772	11	138	2	0	0	0
SPAdes-MetaBAT2Refined-S3.104_sub	p__Actinobacteria (UID1454)	732	200	117	56.18	0.85	0.00	3168408	12685	1066	1615	3134	2506	2972	1954	12249	11921	70.2	1.79	89.56	11	4063	91	108	1	0	0	0
SPAdes-MetaBAT2Refined-S3.106	p__Euryarchaeota (UID3)	148	188	125	99.01	0.80	0.00	2035340	515	63	96	65127	38709	32306	21196	220304	220304	51.0	1.76	88.55	11	2045	3	184	1	0	0	0
SPAdes-MetaBAT2Refined-S3.109	k__Bacteria (UID1452)	924	151	101	98.59	5.15	0.00	7354316	15820	403	590	27153	18793	18248	12438	119040	86540	56.6	2.17	85.36	11	6305	3	142	6	0	0	0
SPAdes-MetaBAT2Refined-S3.123	p__Euryarchaeota (UID3)	148	188	125	95.07	1.60	0.00	2041951	80	64	72	58295	54168	31905	28359	213818	142621	72.1	2.05	90.94	11	1952	9	177	2	0	0	0
SPAdes-MetaBAT2Refined-S3.124	o__Actinomycetales (UID1696)	455	311	187	82.70	4.30	5.56	3066823	5369	611	754	6435	5416	5019	4060	34262	25317	73.9	2.38	90.60	11	3455	52	241	18	0	0	0
SPAdes-MetaBAT2Refined-S3.126	k__Bacteria (UID3187)	2258	181	110	87.08	1.82	0.00	1901738	1653	82	101	38131	34855	23191	18812	108435	99727	54.9	2.99	89.98	11	1887	23	156	2	0	0	0
SPAdes-MetaBAT2Refined-S3.128	k__Bacteria (UID1452)	924	161	108	97.69	0.00	0.00	2425510	330	49	55	87872	73496	49500	44094	178023	158700	70.5	1.44	89.92	11	2338	3	158	0	0	0	0
SPAdes-MetaBAT2Refined-S3.140	o__Actinomycetales (UID1802)	274	388	214	94.25	6.23	21.05	3505462	2800	145	173	57267	51037	24175	20246	344248	172360	72.8	2.21	91.20	11	3491	16	357	13	2	0	0
SPAdes-MetaBAT2Refined-S3.143	p__Proteobacteria (UID3880)	1495	261	164	97.56	1.52	0.00	2170287	1500	57	72	76219	71433	38075	30122	220045	186700	65.3	1.27	92.84	11	2151	6	252	3	0	0	0
SPAdes-MetaBAT2Refined-S3.145_sub	k__Bacteria (UID1453)	901	171	117	94.49	7.19	55.56	5763453	4887	364	431	32786	26041	15833	13360	117088	94928	68.3	2.12	89.95	11	5830	10	143	18	0	0	0
SPAdes-MetaBAT2Refined-S3.146	p__Euryarchaeota (UID3)	148	187	124	96.73	1.61	0.00	1538173	1077	72	128	46413	22395	21363	12008	121472	61638	44.8	1.87	87.89	11	1585	5	180	2	0	0	0
SPAdes-MetaBAT2Refined-S3.148	k__Bacteria (UID1453)	901	171	117	97.01	1.28	0.00	3022982	6949	231	374	19604	12767	13086	8064	113848	87548	63.7	1.45	89.61	11	3208	4	165	2	0	0	0
SPAdes-MetaBAT2Refined-S3.149	k__Bacteria (UID1452)	924	151	101	94.96	1.98	0.00	3816692	17000	302	472	21280	11843	12638	8050	80810	54360	66.2	1.40	81.50	11	3198	6	143	2	0	0	0
SPAdes-MetaBAT2Refined-S3.150_sub	k__Bacteria (UID3187)	2258	187	116	90.94	1.36	66.67	2988025	10500	273	378	17556	14025	10945	7877	52177	51686	60.9	2.69	89.56	11	2709	25	159	3	0	0	0
SPAdes-MetaBAT2Refined-S3.153	k__Bacteria (UID2565)	2921	141	86	95.38	7.06	14.29	5443612	7066	674	989	12020	8052	8076	5497	85885	81149	71.3	1.95	86.08	11	5043	11	116	14	0	0	0
SPAdes-MetaBAT2Refined-S3.159_sub	k__Bacteria (UID3187)	2258	181	110	87.47	0.91	0.00	2308717	5645	391	644	8435	5438	5904	3576	31535	22674	56.0	3.87	88.39	11	2543	30	150	1	0	0	0
SPAdes-MetaBAT2Refined-S3.161	k__Bacteria (UID1452)	924	151	101	82.73	3.96	0.00	4815980	16298	829	1656	7684	4417	5809	2898	40512	20534	66.0	2.20	83.40	11	5011	30	117	4	0	0	0
SPAdes-MetaBAT2Refined-S3.162_sub	p__Actinobacteria (UID1454)	732	200	117	71.57	4.34	33.33	3997994	8554	975	1362	4958	3827	4100	2929	22757	19366	71.0	2.52	87.85	11	4751	60	134	6	0	0	0
SPAdes-MetaBAT2Refined-S3.20_sub	k__Bacteria (UID3187)	2258	188	117	90.35	0.00	0.00	3453542	4158	426	551	12535	9386	8106	6260	62251	55646	56.8	3.41	89.15	11	3418	31	157	0	0	0	0
SPAdes-MetaBAT2Refined-S3.24	k__Bacteria (UID1453)	901	171	117	96.08	0.62	66.67	2484315	8465	187	275	20606	14263	13285	9003	73397	61034	70.9	1.59	91.29	11	2444	6	162	3	0	0	0
SPAdes-MetaBAT2Refined-S3.36	p__Proteobacteria (UID3880)	1495	261	164	90.85	2.13	50.00	2391340	2400	100	124	47714	38338	23913	19265	198396	155935	61.7	2.00	89.56	11	2511	22	235	4	0	0	0
SPAdes-MetaBAT2Refined-S3.41_sub	k__Bacteria (UID1452)	924	151	101	57.07	1.08	100.00	2830947	5642	692	984	4793	3702	4090	2871	18749	18735	62.6	1.45	88.88	11	3445	61	88	2	0	0	0
SPAdes-MetaBAT2Refined-S3.47_sub	k__Bacteria (UID1453)	901	171	117	95.29	2.14	0.00	3273712	4292	232	379	23087	14034	14110	8626	62151	50346	71.9	2.05	88.12	11	3194	9	159	3	0	0	0
SPAdes-MetaBAT2Refined-S3.50_sub	c__Gammaproteobacteria (UID4202)	67	481	276	84.47	2.58	7.69	3649251	1200	323	335	22569	21764	11297	10889	115171	115171	67.6	1.79	90.39	11	3474	77	391	13	0	0	0
SPAdes-MetaBAT2Refined-S3.51	k__Bacteria (UID1453)	901	171	117	93.59	1.38	33.33	3220264	10110	244	346	23570	15694	13197	9277	104513	93747	73.0	2.64	88.01	11	3199	8	160	3	0	0	0
SPAdes-MetaBAT2Refined-S3.53	k__Bacteria (UID1453)	901	171	117	88.46	3.42	40.00	3734803	3206	278	321	23048	18347	13434	11624	86303	82247	70.7	1.87	90.26	11	3796	26	140	5	0	0	0
SPAdes-MetaBAT2Refined-S3.54_sub	k__Bacteria (UID1453)	901	171	117	86.12	7.34	23.08	4515569	3722	426	515	16372	13914	10599	8760	100942	96133	71.0	1.82	92.21	11	4574	33	129	7	2	0	0
SPAdes-MetaBAT2Refined-S3.57_sub	p__Euryarchaeota (UID3)	148	188	125	97.34	1.60	0.00	1950650	1900	90	109	34169	26399	21673	17878	80971	75375	71.7	1.90	89.61	11	1875	7	179	2	0	0	0
SPAdes-MetaBAT2Refined-S3.63_sub	k__Bacteria (UID2565)	2921	143	88	78.83	3.68	14.29	5278926	15108	1147	1902	5591	3842	4602	2767	22380	15270	59.6	1.57	87.41	11	5428	28	108	7	0	0	0
SPAdes-MetaBAT2Refined-S3.7	c__Alphaproteobacteria (UID3305)	564	349	230	97.87	2.10	14.29	4975324	980	166	183	59790	56668	29971	27182	130535	116912	68.6	2.54	89.83	11	4951	19	323	7	0	0	0
SPAdes-MetaBAT2Refined-S3.79	o__Actinomycetales (UID2012)	35	495	282	75.84	4.41	0.00	4838651	17598	1186	2072	4822	3206	4079	2326	48479	48479	73.1	2.16	86.72	11	5860	118	363	13	1	0	0
SPAdes-MetaBAT2Refined-S3.8	k__Bacteria (UID3187)	2258	187	116	99.78	0.86	0.00	4394782	900	68	77	137037	126084	64629	57063	265604	218353	61.6	1.10	87.58	11	3711	1	185	1	0	0	0
SPAdes-MetaBAT2Refined-S3.86	p__Euryarchaeota (UID3)	148	188	125	97.14	0.80	0.00	2169722	250	119	126	33313	32604	18232	17218	92218	92218	49.0	1.91	87.98	11	2221	6	181	1	0	0	0
