chrom	length	bases	mean	min	max
NODE_67350_length_1054_cov_2.582583	1054	4343	4.12	1	8
NODE_67363_length_1054_cov_2.151151	1054	3201	3.04	0	11
NODE_67393_length_1053_cov_3.817635	1053	4307	4.09	1	7
NODE_67397_length_1053_cov_3.751503	1053	4493	4.27	1	8
NODE_67400_length_1053_cov_3.617234	1053	5336	5.07	1	9
NODE_67415_length_1053_cov_2.917836	1053	4855	4.61	1	21
NODE_67419_length_1053_cov_2.768537	1053	4978	4.73	1	9
NODE_67444_length_1053_cov_2.256513	1053	3588	3.41	1	6
NODE_67450_length_1053_cov_2.163327	1053	2821	2.68	1	6
NODE_67499_length_1052_cov_2.981946	1052	5224	4.97	1	11
NODE_67544_length_1051_cov_3.614458	1051	3332	3.17	1	6
NODE_67552_length_1051_cov_3.288153	1051	4139	3.94	1	8
NODE_67559_length_1051_cov_3.007028	1051	3963	3.77	2	6
NODE_67560_length_1051_cov_2.942771	1051	3518	3.35	1	7
NODE_67577_length_1051_cov_2.322289	1051	3770	3.59	1	8
NODE_67616_length_1050_cov_3.370854	1050	4571	4.35	1	9
NODE_67642_length_1050_cov_2.531658	1050	3220	3.07	1	17
NODE_67662_length_1050_cov_1.952764	1050	2874	2.74	0	7
NODE_67705_length_1049_cov_3.047284	1049	4304	4.10	1	12
NODE_67720_length_1049_cov_2.358149	1049	2873	2.74	0	6
NODE_67767_length_1048_cov_3.246727	1048	3818	3.64	1	6
NODE_67779_length_1048_cov_2.923464	1048	3860	3.68	1	7
NODE_67796_length_1048_cov_2.527694	1048	3423	3.27	1	9
NODE_67812_length_1048_cov_2.035247	1048	3634	3.47	1	13
NODE_67818_length_1048_cov_1.849950	1048	2171	2.07	1	4
NODE_67821_length_1048_cov_1.565962	1048	2504	2.39	1	5
NODE_67865_length_1047_cov_3.076613	1047	3862	3.69	0	9
NODE_67890_length_1047_cov_2.480847	1047	3558	3.40	0	7
NODE_67941_length_1046_cov_3.007064	1046	4626	4.42	1	8
NODE_67956_length_1046_cov_2.620585	1046	3892	3.72	1	7
NODE_67999_length_1045_cov_3.815152	1045	4315	4.13	1	7
NODE_68024_length_1045_cov_2.913131	1045	3652	3.49	1	6
NODE_68071_length_1044_cov_11.553084	1044	15703	15.04	3	24
NODE_68099_length_1044_cov_3.359960	1044	3067	2.94	1	5
NODE_68151_length_1043_cov_5.419028	1043	7683	7.37	1	15
NODE_68156_length_1043_cov_4.428138	1043	5656	5.42	0	11
NODE_68180_length_1043_cov_2.707490	1043	3714	3.56	1	8
NODE_68213_length_1042_cov_5.961499	1042	6257	6.00	2	12
NODE_68220_length_1042_cov_4.628166	1042	4699	4.51	1	13
NODE_68232_length_1042_cov_3.509625	1042	4510	4.33	1	9
NODE_68250_length_1042_cov_2.791287	1042	4681	4.49	1	13
NODE_68266_length_1042_cov_2.253293	1042	3800	3.65	1	8
NODE_68302_length_1041_cov_3.943205	1041	5533	5.32	1	8
NODE_68307_length_1041_cov_3.605477	1041	4087	3.93	1	10
NODE_68317_length_1041_cov_3.217039	1041	5081	4.88	1	17
NODE_68325_length_1041_cov_2.751521	1041	4044	3.88	1	8
NODE_68365_length_1040_cov_4.123858	1040	5089	4.89	1	7
NODE_68391_length_1040_cov_3.018274	1040	3173	3.05	1	7
NODE_68417_length_1040_cov_1.811168	1040	3258	3.13	1	8
NODE_68447_length_1039_cov_3.587398	1039	3025	2.91	1	5
NODE_68450_length_1039_cov_3.419715	1039	3323	3.20	1	6
NODE_68457_length_1039_cov_3.109756	1039	2959	2.85	0	7
NODE_68464_length_1039_cov_2.913618	1039	3141	3.02	1	5
NODE_68469_length_1039_cov_2.831301	1039	4199	4.04	1	8
NODE_68477_length_1039_cov_2.719512	1039	3337	3.21	1	6
NODE_68484_length_1039_cov_2.447154	1039	2748	2.64	1	4
NODE_68550_length_1038_cov_2.695829	1038	3784	3.65	1	7
NODE_68566_length_1038_cov_1.904374	1038	3695	3.56	1	7
NODE_68588_length_1037_cov_4.116090	1037	4745	4.58	1	13
NODE_68590_length_1037_cov_3.940937	1037	4491	4.33	1	16
NODE_68605_length_1037_cov_2.992872	1037	3426	3.30	1	6
NODE_68623_length_1037_cov_2.317719	1037	3019	2.91	1	6
NODE_68633_length_1037_cov_1.984725	1037	3233	3.12	1	6
NODE_68637_length_1037_cov_1.865580	1037	3418	3.30	1	9
NODE_68662_length_1036_cov_3.003058	1036	3754	3.62	1	7
NODE_68670_length_1036_cov_2.739042	1036	4637	4.48	1	8
NODE_68687_length_1036_cov_2.160041	1036	2342	2.26	1	4
NODE_68720_length_1035_cov_3.582653	1035	6388	6.17	1	18
NODE_68729_length_1035_cov_3.154082	1035	4956	4.79	1	9
NODE_68731_length_1035_cov_3.030612	1035	3504	3.39	1	6
NODE_68740_length_1035_cov_2.632653	1035	3918	3.79	1	8
NODE_68742_length_1035_cov_2.527551	1035	4800	4.64	1	8
NODE_68813_length_1034_cov_3.110317	1034	5436	5.26	1	12
NODE_68817_length_1034_cov_3.001021	1034	4113	3.98	1	13
NODE_68823_length_1034_cov_2.522983	1034	2571	2.49	1	5
NODE_68890_length_1033_cov_2.775051	1033	2647	2.56	1	6
NODE_68893_length_1033_cov_2.710634	1033	4133	4.00	1	10
NODE_68896_length_1033_cov_2.507157	1033	2721	2.63	1	6
NODE_68900_length_1033_cov_2.331288	1033	2978	2.88	1	5
NODE_68909_length_1033_cov_1.983640	1033	4883	4.73	2	18
NODE_68984_length_1032_cov_2.221085	1032	3189	3.09	1	7
NODE_69047_length_1031_cov_2.853484	1031	3808	3.69	1	5
NODE_69050_length_1031_cov_2.734631	1031	3323	3.22	1	8
NODE_69054_length_1031_cov_2.609631	1031	2690	2.61	1	6
NODE_69056_length_1031_cov_2.528689	1031	4326	4.20	1	10
NODE_69059_length_1031_cov_2.468238	1031	4508	4.37	1	14
NODE_69062_length_1031_cov_2.382172	1031	4539	4.40	1	9
NODE_69068_length_1031_cov_2.107582	1031	2122	2.06	1	5
NODE_69114_length_1030_cov_2.985641	1030	4379	4.25	1	15
NODE_69118_length_1030_cov_2.916923	1030	4174	4.05	1	8
NODE_69146_length_1030_cov_1.858462	1030	2925	2.84	1	7
NODE_69258_length_1028_cov_3.582734	1028	4522	4.40	1	23
NODE_69279_length_1028_cov_2.782117	1028	2552	2.48	1	5
NODE_69285_length_1028_cov_2.553957	1028	3792	3.69	1	6
NODE_69299_length_1028_cov_2.076053	1028	4017	3.91	1	8
NODE_69312_length_1027_cov_6.378601	1027	17020	16.57	9	26
NODE_69333_length_1027_cov_3.245885	1027	5955	5.80	2	13
NODE_69348_length_1027_cov_2.778807	1027	5298	5.16	2	9
NODE_69360_length_1027_cov_2.188272	1027	2572	2.50	1	5
NODE_69364_length_1027_cov_2.105967	1027	3761	3.66	1	7
NODE_69387_length_1026_cov_4.166838	1026	4607	4.49	1	10
NODE_69390_length_1026_cov_3.831102	1026	6964	6.79	1	25
NODE_69434_length_1026_cov_2.015448	1026	3163	3.08	1	18
NODE_69477_length_1025_cov_3.219588	1025	5180	5.05	2	9
NODE_69492_length_1025_cov_2.800000	1025	4030	3.93	1	11
NODE_69507_length_1025_cov_2.027835	1025	3311	3.23	1	5
NODE_69598_length_1023_cov_4.788223	1023	5678	5.55	1	10
NODE_69612_length_1023_cov_3.350207	1023	5509	5.39	1	11
NODE_69613_length_1023_cov_3.265496	1023	4338	4.24	1	9
NODE_69631_length_1023_cov_2.595041	1023	3685	3.60	1	7
NODE_69641_length_1023_cov_2.076446	1023	2637	2.58	0	5
NODE_69661_length_1023_cov_1.441116	1023	2501	2.44	1	17
NODE_69675_length_1022_cov_3.783868	1022	6056	5.93	1	12
NODE_69717_length_1022_cov_2.518097	1022	4060	3.97	1	7
NODE_69760_length_1021_cov_3.817805	1021	3997	3.91	1	8
NODE_69784_length_1021_cov_2.598344	1021	3111	3.05	1	7
NODE_69797_length_1021_cov_2.247412	1021	2626	2.57	1	5
NODE_69819_length_1020_cov_4.076684	1020	4186	4.10	1	9
NODE_69826_length_1020_cov_3.647668	1020	4772	4.68	1	8
NODE_69863_length_1020_cov_2.249741	1020	4308	4.22	1	11
NODE_69864_length_1020_cov_2.232124	1020	3372	3.31	1	6
NODE_69870_length_1020_cov_2.045596	1020	3707	3.63	1	9
NODE_69906_length_1019_cov_3.410788	1019	3590	3.52	1	8
NODE_69911_length_1019_cov_3.313278	1019	8585	8.42	1	20
NODE_69916_length_1019_cov_3.085062	1019	6083	5.97	2	11
NODE_69928_length_1019_cov_2.643154	1019	3935	3.86	1	10
NODE_69937_length_1019_cov_2.365145	1019	2640	2.59	1	6
NODE_69943_length_1019_cov_2.064315	1019	2626	2.58	1	5
NODE_69964_length_1018_cov_4.547248	1018	5942	5.84	1	9
NODE_69975_length_1018_cov_3.713396	1018	4391	4.31	1	15
NODE_69978_length_1018_cov_3.619938	1018	4508	4.43	1	10
NODE_69996_length_1018_cov_2.863967	1018	3878	3.81	0	10
NODE_70022_length_1018_cov_1.862928	1018	2718	2.67	0	5
NODE_70060_length_1017_cov_3.355509	1017	4036	3.97	1	8
NODE_70090_length_1017_cov_2.551975	1017	3182	3.13	1	7
NODE_70096_length_1017_cov_2.372141	1017	5073	4.99	1	13
NODE_70159_length_1016_cov_3.143600	1016	3725	3.67	1	7
NODE_70165_length_1016_cov_2.882414	1016	5454	5.37	1	13
NODE_70173_length_1016_cov_2.612903	1016	4077	4.01	1	13
NODE_70178_length_1016_cov_2.448491	1016	2766	2.72	1	5
NODE_70207_length_1015_cov_4.066667	1015	5336	5.26	1	10
NODE_70212_length_1015_cov_3.877083	1015	4677	4.61	1	8
NODE_70217_length_1015_cov_3.707292	1015	4716	4.65	1	12
NODE_70227_length_1015_cov_3.126042	1015	3387	3.34	1	7
NODE_70249_length_1015_cov_2.379167	1015	3420	3.37	1	8
NODE_70252_length_1015_cov_2.270833	1015	3813	3.76	2	7
NODE_70307_length_1014_cov_2.571429	1014	2985	2.94	1	6
NODE_70313_length_1014_cov_2.328467	1014	4111	4.05	1	23
NODE_70318_length_1014_cov_2.138686	1014	2902	2.86	1	6
NODE_70320_length_1014_cov_2.025026	1014	2815	2.78	1	5
NODE_70377_length_1013_cov_2.631524	1013	5636	5.56	1	12
NODE_70392_length_1013_cov_1.871608	1013	6318	6.24	1	13
NODE_70425_length_1012_cov_3.375131	1012	3808	3.76	1	9
NODE_70488_length_1011_cov_4.647490	1011	5479	5.42	1	17
NODE_70501_length_1011_cov_3.498954	1011	4964	4.91	1	21
NODE_70514_length_1011_cov_3.061715	1011	5053	5.00	1	14
NODE_70515_length_1011_cov_2.878661	1011	2666	2.64	0	7
NODE_70524_length_1011_cov_2.467573	1011	4141	4.10	1	7
NODE_70539_length_1011_cov_2.099372	1011	2836	2.81	1	5
NODE_70540_length_1011_cov_2.083682	1011	3542	3.50	1	13
NODE_70573_length_1010_cov_3.724607	1010	4740	4.69	1	8
NODE_70593_length_1010_cov_2.919372	1010	3624	3.59	1	7
NODE_70603_length_1010_cov_2.383246	1010	4835	4.79	1	13
NODE_70619_length_1010_cov_1.679581	1010	2327	2.30	1	8
NODE_70682_length_1009_cov_2.125786	1009	3513	3.48	1	6
NODE_70691_length_1009_cov_1.796646	1009	2521	2.50	1	5
NODE_70693_length_1009_cov_1.740042	1009	3979	3.94	1	8
NODE_70694_length_1009_cov_1.731656	1009	3086	3.06	1	6
NODE_70723_length_1008_cov_3.428122	1008	3977	3.95	0	22
NODE_70730_length_1008_cov_3.110178	1008	4532	4.50	1	9
NODE_70737_length_1008_cov_2.792235	1008	5605	5.56	1	23
NODE_70785_length_1007_cov_4.492647	1007	4906	4.87	1	11
NODE_70816_length_1007_cov_3.165966	1007	3292	3.27	0	7
NODE_70852_length_1007_cov_1.879202	1007	2269	2.25	1	5
NODE_70903_length_1006_cov_2.812829	1006	2920	2.90	1	7
NODE_70904_length_1006_cov_2.799159	1006	7792	7.75	2	42
NODE_70923_length_1006_cov_2.368034	1006	2715	2.70	1	5
NODE_70960_length_1005_cov_3.724211	1005	5032	5.01	1	10
NODE_70965_length_1005_cov_3.505263	1005	3969	3.95	1	8
NODE_70972_length_1005_cov_3.227368	1005	3807	3.79	1	7
NODE_70987_length_1005_cov_2.653684	1005	2819	2.80	1	5
NODE_71004_length_1005_cov_1.935789	1005	2928	2.91	0	6
NODE_71038_length_1004_cov_3.752371	1004	2909	2.90	1	6
NODE_71045_length_1004_cov_3.220232	1004	5120	5.10	0	10
NODE_71079_length_1004_cov_2.123288	1004	3032	3.02	1	7
NODE_71104_length_1003_cov_4.194093	1003	6073	6.05	1	20
NODE_71107_length_1003_cov_3.908228	1003	3374	3.36	1	7
NODE_71113_length_1003_cov_3.371308	1003	3881	3.87	1	9
NODE_71133_length_1003_cov_2.651899	1003	4195	4.18	1	8
NODE_71225_length_1002_cov_2.669483	1002	3284	3.28	1	7
NODE_71228_length_1002_cov_2.604013	1002	3531	3.52	1	6
NODE_71233_length_1002_cov_2.518479	1002	6374	6.36	1	23
NODE_71248_length_1002_cov_1.876452	1002	3165	3.16	1	6
NODE_71286_length_1001_cov_3.557082	1001	4355	4.35	1	12
NODE_71297_length_1001_cov_3.355180	1001	3978	3.97	1	7
NODE_71299_length_1001_cov_3.284355	1001	4399	4.39	1	8
NODE_71305_length_1001_cov_3.151163	1001	3223	3.22	1	5
NODE_71323_length_1001_cov_2.630021	1001	2995	2.99	1	6
NODE_71366_length_1000_cov_4.481481	1000	5657	5.66	1	9
NODE_71382_length_1000_cov_3.440212	1000	3466	3.47	0	6
NODE_71402_length_1000_cov_2.795767	1000	3383	3.38	1	8
NODE_71433_length_1000_cov_2.037037	1000	2676	2.68	1	5
NODE_11_length_255988_cov_59.005044	255988	16784298	65.57	0	284
NODE_24_length_216890_cov_54.660654	216890	13379286	61.69	0	911
NODE_51_length_169899_cov_59.650309	169899	11361434	66.87	0	154
NODE_59_length_162493_cov_55.760746	162493	10138212	62.39	0	161
NODE_66_length_155510_cov_63.166537	155510	10923243	70.24	0	175
NODE_71_length_153070_cov_55.334876	153070	9524072	62.22	22	140
NODE_76_length_150647_cov_54.669836	150647	9430688	62.60	0	222
NODE_80_length_149789_cov_57.208470	149789	9858672	65.82	15	344
NODE_118_length_126980_cov_56.362584	126980	8243918	64.92	0	322
NODE_125_length_125125_cov_59.225698	125125	8336688	66.63	0	125
NODE_150_length_117718_cov_57.257515	117718	7573255	64.33	10	253
NODE_204_length_103636_cov_56.682085	103636	6626405	63.94	11	360
NODE_209_length_102959_cov_60.615360	102959	7188464	69.82	0	357
NODE_213_length_101483_cov_56.877874	101483	6602265	65.06	5	385
NODE_226_length_99303_cov_55.119529	99303	6186430	62.30	24	460
NODE_314_length_84839_cov_55.986365	84839	5308622	62.57	20	95
NODE_352_length_80683_cov_57.854517	80683	5225476	64.77	0	109
NODE_415_length_74873_cov_56.421262	74873	4777576	63.81	1	272
NODE_427_length_74140_cov_56.977931	74140	4764222	64.26	7	128
NODE_601_length_62361_cov_54.891840	62361	3821339	61.28	22	119
NODE_769_length_54776_cov_56.793370	54776	3907330	71.33	0	451
NODE_805_length_52908_cov_58.713602	52908	3466921	65.53	17	149
NODE_883_length_49911_cov_59.192214	49911	3295406	66.03	2	418
NODE_934_length_48203_cov_59.238494	48203	3217689	66.75	2	232
NODE_944_length_47752_cov_62.694635	47752	3333788	69.81	32	181
NODE_948_length_47632_cov_58.046325	47632	3179400	66.75	33	308
NODE_986_length_46863_cov_55.124274	46863	2914712	62.20	12	903
NODE_1234_length_40273_cov_55.373489	40273	2534780	62.94	24	189
NODE_1244_length_40074_cov_56.210000	40074	2556815	63.80	6	127
NODE_1388_length_37133_cov_55.262420	37133	2290354	61.68	17	152
NODE_1487_length_35165_cov_53.523868	35165	2165781	61.59	0	193
NODE_1509_length_34873_cov_57.213740	34873	2231712	64.00	0	103
NODE_1591_length_33814_cov_55.918155	33814	2115448	62.56	1	102
NODE_1630_length_33503_cov_60.647423	33503	2250968	67.19	30	100
NODE_1974_length_29227_cov_55.721240	29227	1825458	62.46	29	115
NODE_2016_length_28686_cov_57.262548	28686	1832955	63.90	31	98
NODE_2225_length_26885_cov_58.715952	26885	1765190	65.66	15	145
NODE_2337_length_25928_cov_54.912380	25928	1571140	60.60	33	113
NODE_2370_length_25604_cov_57.544327	25604	1632541	63.76	4	147
NODE_2445_length_25024_cov_55.417197	25024	1582584	63.24	17	228
NODE_2488_length_24703_cov_41.521016	24703	1144894	46.35	17	192
NODE_2529_length_24411_cov_59.031409	24411	1697002	69.52	25	170
NODE_2694_length_23323_cov_56.643502	23323	1481231	63.51	27	105
NODE_2733_length_23131_cov_54.250217	23131	1419947	61.39	1	95
NODE_2902_length_22150_cov_60.871147	22150	1942463	87.70	20	580
NODE_3147_length_20610_cov_55.779129	20610	1330543	64.56	31	197
NODE_3764_length_17880_cov_53.960954	17880	1074739	60.11	25	94
NODE_4089_length_16708_cov_58.374707	16708	1128521	67.54	33	141
NODE_4094_length_16692_cov_53.633107	16692	991764	59.42	22	82
NODE_4586_length_15132_cov_57.025801	15132	934691	61.77	0	110
NODE_4954_length_14059_cov_55.587118	14059	874387	62.19	35	90
NODE_5315_length_13251_cov_54.873371	13251	840588	63.44	18	135
NODE_5521_length_12780_cov_51.829862	12780	747850	58.52	16	88
NODE_5525_length_12768_cov_53.836309	12768	767803	60.13	0	93
NODE_5703_length_12445_cov_63.445601	12445	777464	62.47	19	195
NODE_5930_length_11974_cov_56.899824	11974	791612	66.11	11	182
NODE_6143_length_11563_cov_58.857751	11563	759402	65.68	23	216
NODE_6776_length_10473_cov_74.859666	10473	1139295	108.78	37	407
NODE_7402_length_9550_cov_59.961559	9550	644265	67.46	39	116
NODE_7963_length_8807_cov_50.874886	8807	510600	57.98	30	168
NODE_8375_length_8324_cov_54.175958	8324	507063	60.92	32	101
NODE_8387_length_8311_cov_62.223716	8311	578471	69.60	32	134
NODE_8923_length_7723_cov_54.844549	7723	474485	61.44	30	160
NODE_9447_length_7233_cov_46.353720	7233	432519	59.80	21	114
NODE_9634_length_7064_cov_56.529890	7064	449032	63.57	26	130
NODE_10202_length_6636_cov_54.832092	6636	406015	61.18	19	96
NODE_10283_length_6568_cov_101.064026	6568	1032854	157.26	32	661
NODE_10605_length_6359_cov_73.104378	6359	792305	124.60	38	453
NODE_11001_length_6075_cov_57.713123	6075	385861	63.52	17	87
NODE_11962_length_5498_cov_61.317656	5498	357923	65.10	20	149
NODE_12243_length_5349_cov_56.285040	5349	351693	65.75	14	156
NODE_14071_length_4572_cov_51.865176	4572	282636	61.82	13	131
NODE_14326_length_4472_cov_52.511886	4472	263178	58.85	27	125
NODE_15689_length_4050_cov_52.259074	4050	235989	58.27	14	85
NODE_16864_length_3757_cov_118.412480	3757	481561	128.18	94	159
NODE_22887_length_2798_cov_57.145097	2798	176015	62.91	9	85
NODE_24038_length_2674_cov_54.950363	2674	159485	59.64	25	77
NODE_28371_length_2293_cov_50.492404	2293	127317	55.52	14	81
NODE_28846_length_2257_cov_23.870118	2257	121855	53.99	15	181
NODE_29227_length_2229_cov_58.661454	2229	144318	64.75	44	88
NODE_40625_length_1660_cov_54.850467	1660	96241	57.98	21	75
NODE_1_length_532908_cov_62.093654	532908	36997391	69.43	33	181
NODE_2_length_444148_cov_61.133267	444148	30466217	68.59	27	135
NODE_53_length_166866_cov_61.791477	166866	11644940	69.79	35	265
NODE_62_length_157812_cov_63.574745	157812	11310631	71.67	38	371
NODE_70_length_154683_cov_62.316036	154683	10809149	69.88	1	101
NODE_79_length_149886_cov_62.352504	149886	10475172	69.89	19	193
NODE_117_length_127184_cov_62.054960	127184	8910088	70.06	35	230
NODE_130_length_122944_cov_60.867254	122944	8493146	69.08	34	158
NODE_131_length_122725_cov_62.266218	122725	8548448	69.66	2	246
NODE_135_length_122465_cov_62.940642	122465	8600389	70.23	21	122
NODE_173_length_112116_cov_60.586707	112116	7652673	68.26	15	462
NODE_354_length_80511_cov_61.563563	80511	5536997	68.77	17	125
NODE_388_length_77321_cov_60.854283	77321	5337817	69.03	1	370
NODE_596_length_62755_cov_60.970845	62755	4467389	71.19	17	420
NODE_666_length_59430_cov_62.975444	59430	4188691	70.48	12	111
NODE_842_length_51268_cov_63.664792	51268	3794107	74.01	0	256
NODE_910_length_48908_cov_62.196058	48908	3395646	69.43	31	104
NODE_24203_length_2659_cov_76.188556	2659	240153	90.32	0	292
NODE_16_length_242969_cov_47.913266	242969	13124524	54.02	0	265
NODE_44_length_176062_cov_49.006625	176062	9612699	54.60	0	213
NODE_88_length_144941_cov_47.886338	144941	7732454	53.35	21	451
NODE_93_length_141115_cov_48.908833	141115	7692399	54.51	24	114
NODE_120_length_126594_cov_48.097053	126594	6847430	54.09	0	135
NODE_156_length_115374_cov_48.732421	115374	6202520	53.76	0	91
NODE_157_length_114429_cov_50.961442	114429	6563752	57.36	0	241
NODE_161_length_114125_cov_47.881844	114125	6067271	53.16	0	101
NODE_185_length_108469_cov_49.164019	108469	5954680	54.90	0	136
NODE_205_length_103611_cov_48.193972	103611	6454381	62.29	3	970
NODE_224_length_99723_cov_49.300839	99723	5701102	57.17	0	322
NODE_255_length_93448_cov_49.299798	93448	5139877	55.00	21	208
NODE_339_length_82110_cov_48.633612	82110	4703181	57.28	27	520
NODE_355_length_80416_cov_48.941265	80416	4366956	54.30	0	208
NODE_713_length_57235_cov_47.204285	57235	3041522	53.14	0	190
NODE_774_length_54598_cov_46.922318	54598	2871873	52.60	0	92
NODE_798_length_53457_cov_47.721902	53457	3059516	57.23	8	350
NODE_1015_length_45996_cov_48.384646	45996	2466145	53.62	0	82
NODE_1026_length_45651_cov_49.279081	45651	2510226	54.99	0	181
NODE_1094_length_43730_cov_49.096394	43730	2444423	55.90	0	270
NODE_1138_length_42451_cov_48.926880	42451	2473567	58.27	0	245
NODE_1325_length_38362_cov_49.288355	38362	2081366	54.26	30	82
NODE_1333_length_38178_cov_50.252236	38178	2130647	55.81	16	90
NODE_1425_length_36492_cov_50.600406	36492	2033933	55.74	0	96
NODE_1467_length_35612_cov_47.893495	35612	1929032	54.17	23	129
NODE_1566_length_34161_cov_45.437225	34161	1879944	55.03	23	225
NODE_1582_length_33933_cov_50.402828	33933	1884805	55.54	0	169
NODE_1678_length_32956_cov_48.815294	32956	1781463	54.06	13	98
NODE_1792_length_31425_cov_48.481511	31425	1701000	54.13	0	85
NODE_1795_length_31396_cov_50.475416	31396	1751403	55.78	32	105
NODE_1942_length_29613_cov_48.980310	29613	1708826	57.71	20	654
NODE_2319_length_26054_cov_49.467403	26054	1430246	54.90	26	195
NODE_2322_length_26033_cov_48.074563	26033	1403112	53.90	28	189
NODE_2454_length_24960_cov_49.660550	24960	1354866	54.28	15	134
NODE_2635_length_23721_cov_49.036466	23721	1323386	55.79	29	102
NODE_2701_length_23278_cov_48.446282	23278	1258039	54.04	28	85
NODE_3319_length_19679_cov_49.805442	19679	1073989	54.58	16	79
NODE_3326_length_19655_cov_49.082449	19655	1081548	55.03	0	102
NODE_3528_length_18823_cov_49.951034	18823	1013690	53.85	14	271
NODE_3637_length_18373_cov_48.783601	18373	1304778	71.02	12	823
NODE_3777_length_17822_cov_48.784207	17822	1292971	72.55	17	674
NODE_3887_length_17336_cov_50.082923	17336	968536	55.87	32	285
NODE_4003_length_16967_cov_48.532521	16967	928064	54.70	29	84
NODE_5230_length_13437_cov_51.066134	13437	730778	54.39	21	100
NODE_5537_length_12755_cov_48.739764	12755	775068	60.77	30	565
NODE_5973_length_11900_cov_53.174335	11900	967029	81.26	34	886
NODE_6028_length_11800_cov_52.617284	11800	687520	58.26	35	235
NODE_8732_length_7926_cov_52.252954	7926	480020	60.56	6	293
NODE_8812_length_7839_cov_46.973407	7839	420947	53.70	0	120
NODE_9418_length_7264_cov_43.126647	7264	349594	48.13	18	67
NODE_9463_length_7221_cov_46.841055	7221	970560	134.41	13	1269
NODE_9543_length_7147_cov_46.768190	7147	379567	53.11	11	100
NODE_10130_length_6686_cov_49.332831	6686	750021	112.18	28	1057
NODE_10242_length_6595_cov_49.579664	6595	360292	54.63	21	77
NODE_10736_length_6264_cov_46.760348	6264	335864	53.62	26	266
NODE_12473_length_5229_cov_49.886548	5229	364435	69.69	17	353
NODE_12696_length_5137_cov_48.208383	5137	272053	52.96	22	88
NODE_14634_length_4366_cov_51.362097	4366	262734	60.18	16	194
NODE_14873_length_4284_cov_47.693072	4284	221585	51.72	25	78
NODE_16427_length_3864_cov_45.076923	3864	194010	50.21	25	73
NODE_16773_length_3774_cov_45.657704	3774	244705	64.84	29	296
NODE_17108_length_3705_cov_46.056164	3705	188599	50.90	14	76
NODE_19373_length_3267_cov_45.347447	3267	214435	65.64	6	298
NODE_21230_length_2994_cov_78.165362	2994	400105	133.64	36	866
NODE_27631_length_2349_cov_47.483435	2349	123876	52.74	37	79
NODE_27690_length_2344_cov_44.399301	2344	119222	50.86	34	75
NODE_30420_length_2153_cov_51.396568	2153	116920	54.31	16	84
NODE_36102_length_1842_cov_64.778959	1842	171084	92.88	16	167
NODE_37250_length_1793_cov_45.075374	1793	85694	47.79	13	63
NODE_275_length_89759_cov_25.251739	89759	2569848	28.63	9	85
NODE_871_length_50315_cov_24.047155	50315	1602445	31.85	8	513
NODE_945_length_47693_cov_6.198896	47693	403380	8.46	0	134
NODE_1031_length_45252_cov_5.885191	45252	297964	6.58	1	47
NODE_1260_length_39802_cov_25.424535	39802	1144084	28.74	11	146
NODE_1296_length_39143_cov_37.326827	39143	1625307	41.52	9	455
NODE_1867_length_30528_cov_37.351754	30528	1317036	43.14	0	90
NODE_2093_length_28045_cov_11.183315	28045	374752	13.36	1	32
NODE_2227_length_26874_cov_5.655953	26874	190140	7.08	1	34
NODE_2314_length_26099_cov_5.580210	26099	171429	6.57	1	27
NODE_2332_length_25955_cov_5.647529	25955	179327	6.91	0	111
NODE_2427_length_25218_cov_50.243572	25218	1492773	59.19	24	390
NODE_2688_length_23375_cov_5.925343	23375	157267	6.73	0	60
NODE_2743_length_23084_cov_19.064354	23084	653272	28.30	5	215
NODE_2806_length_22764_cov_5.639614	22764	149086	6.55	0	68
NODE_2857_length_22466_cov_6.172594	22466	164197	7.31	0	76
NODE_2858_length_22466_cov_5.923118	22466	158673	7.06	0	34
NODE_2876_length_22348_cov_5.692504	22348	144360	6.46	1	31
NODE_2914_length_22092_cov_6.215410	22092	169653	7.68	1	46
NODE_2998_length_21596_cov_5.521192	21596	152017	7.04	1	71
NODE_3109_length_20887_cov_5.970718	20887	142821	6.84	1	28
NODE_3192_length_20305_cov_5.807951	20305	130945	6.45	0	22
NODE_3244_length_20055_cov_5.956400	20055	135609	6.76	0	18
NODE_3249_length_20015_cov_5.852906	20015	132869	6.64	0	31
NODE_3353_length_19544_cov_6.017600	19544	127497	6.52	0	22
NODE_3469_length_19029_cov_5.441552	19029	116802	6.14	0	24
NODE_3481_length_18999_cov_5.006018	18999	123736	6.51	1	23
NODE_3555_length_18709_cov_5.612684	18709	125650	6.72	1	23
NODE_3612_length_18488_cov_5.877177	18488	130677	7.07	0	48
NODE_3666_length_18255_cov_6.519066	18255	153359	8.40	1	39
NODE_3785_length_17774_cov_19.932840	17774	404602	22.76	0	58
NODE_3796_length_17751_cov_5.261754	17751	113366	6.39	1	29
NODE_3808_length_17712_cov_6.463216	17712	121755	6.87	0	50
NODE_3818_length_17676_cov_5.849668	17676	122889	6.95	0	65
NODE_3853_length_17498_cov_5.865562	17498	116839	6.68	1	29
NODE_3854_length_17498_cov_5.449865	17498	115290	6.59	0	37
NODE_3859_length_17478_cov_6.204442	17478	122606	7.01	1	52
NODE_3864_length_17443_cov_5.799689	17443	117498	6.74	0	25
NODE_3883_length_17367_cov_5.679529	17367	111247	6.41	1	15
