user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
SPAdes-MaxBin2Refined-S2.097_sub	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Palsa-688;g__;s__											d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Palsa-688;g__;s__	taxonomic novelty determined using RED			34.68	11	0.8165490358910082	
SPAdes-MetaBAT2Refined-S2.100_sub	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__ATCC43930;f__Stellaceae;g__;s__											d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__ATCC43930;f__Stellaceae;g__;s__	taxonomic novelty determined using RED			77.39	11	0.8311794418419473	Genome has more than 15.8% of markers with multiple hits
SPAdes-MetaBAT2Refined-S2.101_sub	d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__Binatales;f__Binataceae;g__;s__											d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__Binatales;f__Binataceae;g__;s__	taxonomic novelty determined using RED			55.33	11	0.8710557761675204	
SPAdes-MetaBAT2Refined-S2.102_sub	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiaceae;g__SCQM01;s__											d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiaceae;g__;s__	taxonomic novelty determined using RED			61.33	11	0.9106310508428034	
SPAdes-MetaBAT2Refined-S2.103	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__QHCA01;g__;s__						GCA_003244095.1	95.0	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__QHCA01;g__QHCA01;s__QHCA01 sp003244095	77.38	0.28	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__;g__;s__	taxonomic classification defined by topology and ANI			92.57	11	0.8089900795700942	
SPAdes-MetaBAT2Refined-S2.104	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Palsa-739;s__						GCA_003139545.1	95.0	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Palsa-739;s__Palsa-739 sp003139545	84.06	0.72	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Palsa-739;s__	taxonomic classification defined by topology and ANI		GCA_003161615.1, s__Palsa-739 sp003161615, 95.0, 80.01, 0.52; GCA_005883365.1, s__Palsa-739 sp005883365, 95.0, 79.94, 0.56; GCA_003152275.1, s__Palsa-739 sp003152275, 95.0, 79.59, 0.55	83.36	11	0.9647796624470676	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
SPAdes-MetaBAT2Refined-S2.108	d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__Baltobacterales;f__Baltobacteraceae;g__;s__											d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__Baltobacterales;f__Baltobacteraceae;g__;s__	taxonomic novelty determined using RED			90.25	11	0.8538048500126547	
SPAdes-MetaBAT2Refined-S2.112	d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__Baltobacterales;f__Baltobacteraceae;g__JABEUX01;s__											d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__Baltobacterales;f__Baltobacteraceae;g__;s__	taxonomic novelty determined using RED			89.78	11	0.987941415548008	
SPAdes-MetaBAT2Refined-S2.121	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Palsa-688;g__;s__											d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Palsa-688;g__;s__	taxonomic classification fully defined by topology			83.05	11	0.8465853580570027	
SPAdes-MetaBAT2Refined-S2.122_sub	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Bog-793;g__;s__											d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Bog-793;g__;s__	taxonomic novelty determined using RED			90.17	11	0.8269466544201861	
SPAdes-MetaBAT2Refined-S2.123	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Palsa-688;g__;s__											d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Palsa-688;g__;s__	taxonomic classification fully defined by topology			76.67	11	0.8457564545129159	
SPAdes-MetaBAT2Refined-S2.129	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Bog-793;g__Palsa-601;s__						GCA_003136185.1	95.0	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Bog-793;g__Palsa-601;s__Palsa-601 sp003136185	77.88	0.37	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Bog-793;g__;s__	taxonomic classification defined by topology and ANI			69.27	11	0.8935909886246037	
SPAdes-MetaBAT2Refined-S2.132_sub	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-465;s__											d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-465;s__	ANI		GCA_003244035.1, s__Palsa-465 sp003244035, 95.0, 77.69, 0.38; GCA_005883415.1, s__Palsa-465 sp005883415, 95.0, 77.28, 0.3; GCA_009785395.1, s__Palsa-465 sp009785395, 95.0, 77.12, 0.35; GCA_003165655.1, s__Palsa-465 sp003165655, 95.0, 76.99, 0.2; GCA_003137075.1, s__Palsa-465 sp003137075, 95.0, 76.89, 0.18	78.44	11	0.8923054861314796	
SPAdes-MetaBAT2Refined-S2.134_sub	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__;s__											d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__;g__;s__	taxonomic novelty determined using RED			68.99	11	0.7739936533657298	
SPAdes-MetaBAT2Refined-S2.135_sub	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Jatrophihabitantaceae;g__;s__											d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Jatrophihabitantaceae;g__;s__	taxonomic classification fully defined by topology			48.6	11	0.8746092266523471	
SPAdes-MetaBAT2Refined-S2.136_sub	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptosporangiales;f__Streptosporangiaceae;g__UBA9676;s__						GCA_003541285.1	95.0	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptosporangiales;f__Streptosporangiaceae;g__UBA9676;s__UBA9676 sp003541285	79.06	0.41	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptosporangiales;f__Streptosporangiaceae;g__;s__	taxonomic classification defined by topology and ANI			57.87	11	0.9145302100885458	
SPAdes-MetaBAT2Refined-S2.138	d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__;g__;s__						GCA_013815535.1	95.0	d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__JACDGC01;g__JACDGC01;s__JACDGC01 sp013815535	75.69	0.05	d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__;g__;s__	taxonomic classification defined by topology and ANI			85.59	11	0.6825170147874504	
SPAdes-MetaBAT2Refined-S2.143	d__Bacteria;p__Cyanobacteria;c__Sericytochromatia;o__S15B-MN24;f__;g__;s__						GCA_002083825.1	95.0	d__Bacteria;p__Cyanobacteria;c__Sericytochromatia;o__S15B-MN24;f__UBA4093;g__UBA4093;s__UBA4093 sp002083825	76.49	0.12	d__Bacteria;p__Cyanobacteria;c__Sericytochromatia;o__S15B-MN24;f__;g__;s__	taxonomic classification defined by topology and ANI			70.64	11	0.6679563794651946	
SPAdes-MetaBAT2Refined-S2.150	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__											d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__	taxonomic novelty determined using RED			86.5	11	0.9166232438419514	
SPAdes-MetaBAT2Refined-S2.151_sub	d__Bacteria;p__Dormibacterota;c__Dormibacteria;o__UBA8260;f__Bog-877;g__AG-12;s__						GCA_013044295.1	95.0	d__Bacteria;p__Dormibacterota;c__Dormibacteria;o__UBA8260;f__Bog-877;g__AG-12;s__AG-12 sp013044295	78.55	0.36	d__Bacteria;p__Dormibacterota;c__Dormibacteria;o__UBA8260;f__Bog-877;g__;s__	taxonomic classification defined by topology and ANI			91.36	11	0.8822944372507598	
SPAdes-MetaBAT2Refined-S2.152_sub	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Palsa-688;g__;s__						GCA_009785715.1	95.0	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Palsa-688;g__WQVT01;s__WQVT01 sp009785715	77.31	0.24	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Palsa-688;g__;s__	taxonomic classification defined by topology and ANI			86.68	11	0.8434646282664484	
SPAdes-MetaBAT2Refined-S2.153_sub	d__Bacteria;p__Nitrospirota_A;c__Leptospirillia;o__Leptospirillales;f__Leptospirillaceae;g__;s__											d__Bacteria;p__Nitrospirota_A;c__Leptospirillia;o__Leptospirillales;f__Leptospirillaceae;g__;s__	taxonomic novelty determined using RED			86.68	11	0.8361842071981063	
SPAdes-MetaBAT2Refined-S2.155	d__Bacteria;p__Chloroflexota;c__Ellin6529;o__CSP1-4;f__CSP1-4;g__;s__						GCA_001443375.1	95.0	d__Bacteria;p__Chloroflexota;c__Ellin6529;o__CSP1-4;f__CSP1-4;g__CSP1-4;s__CSP1-4 sp001443375	78.62	0.37	d__Bacteria;p__Chloroflexota;c__Ellin6529;o__CSP1-4;f__CSP1-4;g__;s__	taxonomic classification defined by topology and ANI			90.43	11	0.8498665531668538	
SPAdes-MetaBAT2Refined-S2.158	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__;g__;s__											d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__;g__;s__	taxonomic classification fully defined by topology			85.41	11	0.7838082776247101	
SPAdes-MetaBAT2Refined-S2.21	d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__;g__;s__						GCA_013815535.1	95.0	d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__JACDGC01;g__JACDGC01;s__JACDGC01 sp013815535	75.35	0.04	d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__;g__;s__	taxonomic classification defined by topology and ANI			85.55	11	0.6774329761824927	
SPAdes-MetaBAT2Refined-S2.29_sub	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Palsa-688;g__;s__											d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Palsa-688;g__;s__	taxonomic classification fully defined by topology			62.08	11	0.8472421088007897	
SPAdes-MetaBAT2Refined-S2.2_sub	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Thiomonas;s__Thiomonas delicata	GCF_900088825.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Thiomonas;s__Thiomonas delicata	98.85	0.99	GCF_900088825.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Thiomonas;s__Thiomonas delicata	98.85	0.99	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Thiomonas;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_900089495.1, s__Thiomonas sp900089495, 95.0, 82.76, 0.79; GCA_013044035.1, s__Thiomonas sp013044035, 95.0, 81.41, 0.72; GCF_000377645.1, s__Thiomonas sp000377645, 95.0, 80.01, 0.61; GCF_001418255.1, s__Thiomonas bhubaneswarensis, 95.0, 79.32, 0.53; GCF_000253115.1, s__Thiomonas arsenitoxydans, 95.0, 79.29, 0.55; GCF_002028405.1, s__Thiomonas intermedia, 95.0, 78.9, 0.52; GCA_011334805.1, s__Thiomonas sp011334805, 95.0, 78.72, 0.27; GCF_000733775.1, s__Thiomonas sp000733775, 95.0, 78.68, 0.55	78.72	11		
SPAdes-MetaBAT2Refined-S2.30	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Isosphaerales;f__Isosphaeraceae;g__;s__											d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Isosphaerales;f__Isosphaeraceae;g__;s__	taxonomic novelty determined using RED			77.57	11	0.8717636320349823	
SPAdes-MetaBAT2Refined-S2.34	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Isosphaerales;f__Isosphaeraceae;g__;s__											d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Isosphaerales;f__Isosphaeraceae;g__;s__	taxonomic classification fully defined by topology			84.1	11	0.8135429703861129	
SPAdes-MetaBAT2Refined-S2.35	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__SCTD01;g__;s__											d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__;g__;s__	taxonomic novelty determined using RED			95.0	11	0.8619282424727455	
SPAdes-MetaBAT2Refined-S2.37	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Metallibacterium;s__						GCF_002077135.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Metallibacterium;s__Metallibacterium scheffleri	83.3	0.77	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Metallibacterium;s__	taxonomic classification defined by topology and ANI		GCA_003233305.1, s__Metallibacterium sp003233305, 95.0, 75.69, 0.08	98.53	11	0.957130981672951	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
SPAdes-MetaBAT2Refined-S2.39_sub	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__;g__;s__											d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__;g__;s__	taxonomic classification fully defined by topology			73.42	11	0.7833831467835284	
SPAdes-MetaBAT2Refined-S2.40	d__Bacteria;p__Chloroflexota;c__UBA4733;o__UBA4733;f__UBA4733;g__UBA4733;s__						GCA_002404055.1	95.0	d__Bacteria;p__Chloroflexota;c__UBA4733;o__UBA4733;f__UBA4733;g__UBA4733;s__UBA4733 sp002404055	80.17	0.46	d__Bacteria;p__Chloroflexota;c__;o__;f__;g__;s__	taxonomic classification defined by topology and ANI			82.43	11	0.9397434883402964	
SPAdes-MetaBAT2Refined-S2.46	d__Bacteria;p__Dormibacterota;c__Dormibacteria;o__Dormibacterales;f__Dormibacteraceae;g__;s__											d__Bacteria;p__Dormibacterota;c__Dormibacteria;o__Dormibacterales;f__Dormibacteraceae;g__;s__	taxonomic classification fully defined by topology			78.86	11	0.8048560678391047	
SPAdes-MetaBAT2Refined-S2.47	d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__Binatales;f__Binataceae;g__;s__											d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__Binatales;f__Binataceae;g__;s__	taxonomic novelty determined using RED			92.97	11	0.8500431429295973	
SPAdes-MetaBAT2Refined-S2.51_sub	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__CAJCIY01;g__;s__						GCA_903970495.1	95.0	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__CAJCIY01;g__CAJCIY01;s__CAJCIY01 sp903970495	77.34	0.31	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__;g__;s__	taxonomic classification defined by topology and ANI			89.16	11	0.8310233623948738	
SPAdes-MetaBAT2Refined-S2.52_sub	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__;s__											d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__;s__	taxonomic classification fully defined by topology			66.79	11	0.8051645886895551	
SPAdes-MetaBAT2Refined-S2.54	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__;s__											d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__;g__;s__	taxonomic novelty determined using RED			89.7	11	0.77451896391995	
SPAdes-MetaBAT2Refined-S2.55	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__PALSA-457;s__						GCA_003161575.1	95.0	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__PALSA-457;s__PALSA-457 sp003161575	77.22	0.2	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__;s__	taxonomic classification defined by topology and ANI			86.9	11	0.8587589559969909	
SPAdes-MetaBAT2Refined-S2.56	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__SCQP01;g__;s__						GCA_004299485.1	95.0	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__SCQP01;g__SCQP01;s__SCQP01 sp004299485	76.35	0.15	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__;g__;s__	taxonomic classification defined by topology and ANI			92.85	11	0.7715764847058824	
SPAdes-MetaBAT2Refined-S2.58_sub	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Gemmatales;f__Gemmataceae;g__;s__						GCA_002404095.1	95.0	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Gemmatales;f__Gemmataceae;g__UBA4732;s__UBA4732 sp002404095	76.17	0.14	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Gemmatales;f__Gemmataceae;g__;s__	taxonomic classification defined by topology and ANI			50.49	11	0.8319257920044401	
SPAdes-MetaBAT2Refined-S2.59	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__						GCF_000620725.1	95.0	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__Terracidiphilus sp000620725	78.24	0.32	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__	taxonomic classification defined by topology and ANI		GCF_008682415.1, s__Terracidiphilus sp008682415, 95.0, 78.29, 0.3; GCA_903849645.1, s__Terracidiphilus sp903849645, 95.0, 77.94, 0.25; GCA_002314435.1, s__Terracidiphilus sp002314435, 95.0, 77.88, 0.29; GCA_003170825.1, s__Terracidiphilus sp003170825, 95.0, 77.87, 0.3; GCA_003151435.1, s__Terracidiphilus sp003151435, 95.0, 77.83, 0.26; GCA_003134855.1, s__Terracidiphilus sp003134855, 95.0, 77.69, 0.25; GCA_903842065.1, s__Terracidiphilus sp903842065, 95.0, 77.62, 0.19; GCA_003142935.1, s__Terracidiphilus sp003142935, 95.0, 77.59, 0.2; GCA_003139795.1, s__Terracidiphilus sp003139795, 95.0, 77.5, 0.25; GCF_003131205.1, s__Terracidiphilus savannae, 95.0, 77.45, 0.21; GCA_003161045.1, s__Terracidiphilus sp003161045, 95.0, 77.4, 0.3; GCA_003167305.1, s__Terracidiphilus sp003167305, 95.0, 77.39, 0.31; GCA_903828675.1, s__Terracidiphilus sp903828675, 95.0, 77.38, 0.19; GCA_003138365.1, s__Terracidiphilus sp003138365, 95.0, 77.38, 0.21; GCA_003138515.1, s__Terracidiphilus sp003138515, 95.0, 77.36, 0.21; GCA_003133425.1, s__Terracidiphilus sp003133425, 95.0, 77.33, 0.19; GCF_900290245.1, s__Terracidiphilus gaucii, 95.0, 77.33, 0.18; GCA_003162495.1, s__Terracidiphilus sp003162495, 95.0, 77.3, 0.26; GCA_003165075.1, s__Terracidiphilus sp003165075, 95.0, 77.29, 0.19; GCA_903911925.1, s__Terracidiphilus sp903911925, 95.0, 77.26, 0.2; GCA_002307235.1, s__Terracidiphilus sp002307235, 95.0, 77.24, 0.21; GCF_001449115.1, s__Terracidiphilus gabretensis, 95.0, 77.24, 0.18; GCA_003142015.1, s__Terracidiphilus sp003142015, 95.0, 77.24, 0.22; GCA_003171315.1, s__Terracidiphilus sp003171315, 95.0, 77.23, 0.26; GCA_003165095.1, s__Terracidiphilus sp003165095, 95.0, 77.14, 0.17; GCA_003159355.1, s__Terracidiphilus sp003159355, 95.0, 77.06, 0.24; GCA_003140785.1, s__Terracidiphilus sp003140785, 95.0, 76.96, 0.15; GCA_003165935.1, s__Terracidiphilus sp003165935, 95.0, 76.91, 0.16; GCA_003134815.1, s__Terracidiphilus sp003134815, 95.0, 76.91, 0.18; GCA_003166055.1, s__Terracidiphilus sp003166055, 95.0, 76.91, 0.15; GCA_003140705.1, s__Terracidiphilus sp003140705, 95.0, 76.89, 0.12; GCA_003156235.1, s__Terracidiphilus sp003156235, 95.0, 76.87, 0.16; GCA_003165005.1, s__Terracidiphilus sp003165005, 95.0, 76.85, 0.23; GCA_003151985.1, s__Terracidiphilus sp003151985, 95.0, 76.67, 0.13; GCA_003156495.1, s__Terracidiphilus sp003156495, 95.0, 76.52, 0.14; GCA_003164635.1, s__Terracidiphilus sp003164635, 95.0, 76.12, 0.12	90.11	11	0.9584235300435224	
SPAdes-MetaBAT2Refined-S2.6	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__;g__;s__											d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__;g__;s__	taxonomic classification fully defined by topology			96.05	11	0.7827754098961228	
SPAdes-MetaBAT2Refined-S2.60	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__SCTD01;g__;s__											d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__;g__;s__	taxonomic novelty determined using RED			64.42	11	0.7956005765984562	
SPAdes-MetaBAT2Refined-S2.61	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__;s__											d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__;s__	taxonomic classification fully defined by topology			92.77	11	0.9430531992167231	
SPAdes-MetaBAT2Refined-S2.63_sub	d__Bacteria;p__Nitrospirota_A;c__Leptospirillia;o__Leptospirillales;f__Leptospirillaceae;g__Leptospirillum_A;s__						GCA_011332985.1	95.0	d__Bacteria;p__Nitrospirota_A;c__Leptospirillia;o__Leptospirillales;f__Leptospirillaceae;g__Leptospirillum_A;s__Leptospirillum_A ferriphilum_B	92.71	0.78	d__Bacteria;p__Nitrospirota_A;c__Leptospirillia;o__Leptospirillales;f__Leptospirillaceae;g__Leptospirillum_A;s__	taxonomic classification defined by topology and ANI		GCF_000755505.1, s__Leptospirillum_A ferriphilum, 95.0, 77.61, 0.31; GCF_000299235.1, s__Leptospirillum_A rubarum, 95.0, 77.38, 0.31	82.61	11	0.9845056845623532	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
SPAdes-MetaBAT2Refined-S2.64	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__;s__											d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__;s__	taxonomic novelty determined using RED			92.02	11	0.6947132281934101	
SPAdes-MetaBAT2Refined-S2.67_sub	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__PALSA-457;s__						GCA_003161575.1	95.0	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__PALSA-457;s__PALSA-457 sp003161575	76.51	0.16	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__;s__	taxonomic classification defined by topology and ANI			61.9	11	0.8597284630127255	
SPAdes-MetaBAT2Refined-S2.71	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidiferrobacterales;f__Acidiferrobacteraceae;g__;s__											d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidiferrobacterales;f__;g__;s__	taxonomic novelty determined using RED			98.45	11	0.7267669935562708	
SPAdes-MetaBAT2Refined-S2.73	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Palsa-688;g__WQVT01;s__						GCA_009785715.1	95.0	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Palsa-688;g__WQVT01;s__WQVT01 sp009785715	76.88	0.17	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Palsa-688;g__;s__	taxonomic classification defined by topology and ANI			61.37	11	0.8514013447503486	
